nyt_name,slug,state_id
C.A. Dutch Ruppersberger,ca-dutch-ruppersberger,MD
Gary Peters,gary-peters,MI
Daniel B. Maffei,dan-maffei,NY
Gregory W. Meeks,gregory-w-meeks,NY
Mary Bono Mack,mary-bono-mack,CA
Thomas M. Reynolds,thomas-m-reynolds,NY
AnÌ_bal Acevedo-Vila,anibal-acevedo-vila,PR
Francisco Canseco,francisco-canseco,TX
Lois Capps,lois-capps,CA
Barbara Lee,barbara-lee,CA
Robert A. Brady ,robert-a-brady,PA
Ron Klein,ron-klein,FL
Mike Johanns,mike-johanns,NE
Michael E. Capuano,michael-e-capuano,MA
Allyson Y. Schwartz ,allyson-y-schwartz,PA
Mike Thompson,mike-thompson,CA
Grace F. Napolitano,grace-f-napolitano,CA
Jan Schakowsky,jan-schakowsky,IL
Shelley Berkley,shelley-berkley,NV
Joseph Crowley,joseph-crowley,NY
David Wu,david-wu,OR
Charlie Gonzalez,charlie-gonzalez,TX
Tammy Baldwin,tammy-baldwin,WI
Gary G. Miller,gary-g-miller,CA
Mike Simpson,mike-simpson,ID
Judy Biggert,judy-biggert,IL
Lee Terry,lee-terry,NE
Greg Walden ,greg-walden,OR
Jim DeMint,jim-demint,SC
Dennis Moore,dennis-moore,KS
Rush D. Holt,rush-holt,NJ
Paul D. Ryan ,paul-ryan,WI
Johnny Isakson,johnny-isakson,GA
Scott  Tipton,scott-tipton,CO
David Vitter,david-vitter,LA
Colleen Hanabusa,colleen-hanabusa,HI
Richard Hanna,richard-hanna,NY
Martha Roby,martha-roby,AL
Steve Southerland II,steve-southerland,FL
Todd Rokita fp,todd-rokita,IN
Larry Bucshon,larry-bucshon,IN
Kevin Yoder,kevin-yoder,KS
William Keating,bill-keating,MA
Dan Benishek,dan-benishek,MI
Chip Cravaack,chip-cravaack,MN
Billy Long,billy-long,MO
Steven M. Palazzo,steven-palazzo,MS
Jon Runyan,jon-runyan,NJ
Steve Stivers,steve-stivers,OH
Cedric L. Richmond,cedric-richmond,LA
Paul Gosar,paul-gosar,AZ
Karen  Bass,karen-bass,CA
Dennis A. Ross,dennis-ross,FL
Adam Kinzinger,adam-kinzinger,IL
Randy Hultgren,randy-hultgren,IL
Joe Heck,joe-heck,NV
Michael G. Grimm,mike-grimm,NY
Jim Renacci,jim-renacci,OH
Mike Kelly ,mike-kelly,PA
Jeff Duncan ,jeffrey-duncan,SC
Kristi Noem ,kristi-noem,SD
Morgan Griffith ,morgan-griffith,VA
Reid Ribble ,reid-ribble,WI
Ron Johnson,ron-johnson,WI
Joe Manchin III,joe-manchin-iii,WV
Joe Baca,joe-baca,CA
Amy Klobuchar,amy-klobuchar,MN
Shelley Moore Capito ,shelley-moore-capito,WV
Ken Salazar,ken-salazar,CO
Kendrick B. Meek,kendrick-b-meek,FL
Mike Pence,mike-pence,IN
Mark Steven Kirk,mark-steven-kirk,IL
Kevin McCarthy,kevin-mccarthy,CA
John Hoeven,john-hoeven,ND
Michael M. Honda,michael-m-honda,CA
Susan A. Davis,susan-a-davis,CA
Hilda L. Solis,hilda-l-solis,CA
Mike D. Rogers,mike-rogers,MI
Tim Huelskamp,tim-huelskamp,KS
Mike Ross,mike-ross,AR
Jim Langevin ,jim-langevin,RI
Rick Larsen ,rick-larsen,WA
Betty McCollum,betty-mccollum,MN
Debbie Wasserman Schultz,debbie-wasserman-schultz,FL
Frederica S. Wilson,frederica-wilson,FL
Mel Martinez,mel-martinez,FL
Bobby Bright,bobby-bright,AL
Todd R. Platts,todd-r-platts,PA
Eric Cantor ,eric-cantor,VA
Todd Akin,todd-akin,MO
Dennis Cardoza,dennis-cardoza,CA
Jeff Flake,jeff-flake,AZ
Marco Rubio,marco-rubio,FL
Adam H. Putnam,adam-h-putnam,FL
Steve Israel,steve-israel,NY
John Culberson ,john-culberson,TX
Pat Tiberi,pat-tiberi,OH
William Lacy Clay,william-lacy-clay,MO
Bill Posey,bill-posey,FL
Bill Shuster ,bill-shuster,PA
Jim Matheson ,jim-matheson,UT
J. Randy Forbes ,j-randy-forbes,VA
Sam Graves,sam-graves,MO
Darrell Issa,darrell-issa,CA
Adam B. Schiff,adam-b-schiff,CA
Diana DeGette,diana-degette,CO
Mark Schauer,mark-schauer,MI
Mazie K. Hirono,mazie-k-hirono,HI
Jeff Miller,jeff-miller,FL
John Boozman,john-boozman,AR
Sheldon Whitehouse,sheldon-whitehouse,RI
Judy Chu,judy-chu,CA
John Sullivan,john-sullivan,OK
John Cornyn,john-cornyn,TX
Allen B. West,allen-west,FL
Mo Brooks,mo-brooks,AL
John Carney,john-carney,DE
Raul R. Labrador,raul-labrador,ID
Robert Dold,robert-dold,IL
Hansen Clarke,hansen-clarke,MI
Vicky Hartzler,vicky-hartzler,MO
Alan Nunnelee,alan-nunnelee,MS
Frank Guinta,frank-guinta,NH
Tom Marino ,tom-marino,PA
Chuck Fleischmann ,chuck-fleischmann,TN
Blake Farenthold ,blake-farenthold,TX
Jaime Herrera Beutler ,jaime-herrera-beutler,WA
Kelly Ayotte,kelly-ayotte,NH
Terri A. Sewell,terri-sewell,AL
Rick Crawford,rick-crawford,AR
Ben Quayle,ben-quayle,AZ
Jeff Denham,jeffrey-denham,CA
Scott DesJarlais ,scott-desjarlais,TN
Cory Gardner,cory-gardner,CO
Sandra Adams,sandra-adams,FL
David Rivera,david-rivera,FL
Rob Woodall,rob-woodall,GA
Austin Scott,austin-scott,GA
Bobby Schilling,bobby-schilling,IL
Mike Pompeo,mike-pompeo,KS
Jeff Landry,jeff-landry,LA
Tom Reed,tom-reed,NY
Bill Johnson,bill-johnson,OH
Tim Scott ,tim-scott,SC
Mick Mulvaney ,mick-mulvaney,SC
Bill Flores ,bill-flores,TX
Robert Hurt ,robert-hurt,VA
Sean P. Duffy ,sean-duffy,WI
Henry E. Brown Jr.,henry-e-brown-jr,SC
Stephen F. Lynch,stephen-f-lynch,MA
Gene Taylor,gene-taylor,MS
Jerry Lewis,jerry-lewis,CA
Gary L. Ackerman,gary-l-ackerman,NY
Chellie Pingree,chellie-pingree,ME
Mark Pryor,mark-pryor,AR
Artur Davis,artur-davis,AL
Joe Wilson ,joe-wilson,SC
Russ Carnahan,russ-carnahan,MO
Jo Bonner,jo-bonner,AL
Trent Franks,trent-franks,AZ
Raul M. Grijalva,raul-m-grijalva,AZ
Devin  Nunes,devin-nunes,CA
Linda T. Sanchez,linda-t-sanchez,CA
Ginny Brown-Waite,ginny-brown-waite,FL
Mario Diaz-Balart,mario-diaz-balart,FL
Jim Marshall,jim-marshall,GA
Phil Gingrey,phil-gingrey,GA
David Scott,david-scott,GA
Madeleine Z. Bordallo,madeleine-z-bordallo,GU
Brad Miller,brad-miller,NC
Timothy H. Bishop,timothy-h-bishop,NY
Steve King,steve-king,IA
Michael H. Michaud,michael-h-michaud,ME
Candice S. Miller,candice-s-miller,MI
Thaddeus McCotter,thaddeus-mccotter,MI
John Kline,john-kline,MN
Scott Garrett,scott-garrett,NJ
Michael R. Turner,michael-r-turner,OH
Tim Ryan,tim-ryan,OH
Tom Cole ,tom-cole,OK
Jim Gerlach ,jim-gerlach,PA
Tim Murphy ,tim-murphy,PA
J. Gresham Barrett,j-gresham-barrett,SC
Lincoln Davis,lincoln-davis,TN
Jeb Hensarling ,jeb-hensarling,TX
Michael C. Burgess ,michael-c-burgess,TX
Rob Bishop ,rob-bishop,UT
Lisa Murkowski,lisa-murkowski,AK
Rodney Alexander,rodney-alexander,LA
John R. Carter ,john-carter,TX
K. Michael Conaway ,k-michael-conaway,TX
